;BOYER_AGAMEMNON_1680;BOYER_ARTAXERCE_1683;RACINE_BERENICE_1671;RACINE_IPHIGENIE_1675;RACINE_PHEDRE_1697;BOYER_AMOURSJUPITERSEMELE_1666;BOYER_ARISTODEME_1648;ROTROU_COSROES_1649;ROTROU_DOMBERNARDDECABRERE_1647;CORNEILLEP_ANDROMEDE_1651;ROTROU_DEUXPUCELLES_1639;CORNEILLEP_CID_1682;CORNEILLEP_ILLUSIONCOMIQUE_1639;RACINE_ESTHER_1689;SCUDERY_MORTDECESAR_1637;CORNEILLEP_MEDEE_1682;DURYER_CLITOPHON_1632;MOLIERE_AMPHITRYON_1668;MOLIERE_DOMGARCIEDENAVARRE_1682;ROTROU_HERCULEMOURANT_1636;CORNEILLET_AMOURALAMODE_1651;CORNEILLET_ARIANE_1672;CORNEILLET_BRADAMANTE_1695;CORNEILLET_GEOLIERDESOISMEME_1655;SCARRON_FAUSSEAPPARENCE_1663;SCARRON_GARDIENDESOIMEME_1654;DURYER_CLARIGENE_1639;DURYER_DYNAMIS_1653;DURYER_ESTHER_1644;SCUDERY_PRINCEDEGUISE_1636;SCUDERY_VASSALGENEREUX_1636;MOLIERE_MISANTHROPE_1667;MOLIERE_TARTUFFE_1669;SCARRON_DOMJAPHETDARMENIE_1653;SCARRON_ECOLIERDESALAMANQUE_1655;SCUDERY_ORANTE_1636
BOYER_AGAMEMNON_1680;0;2;2;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOYER_ARTAXERCE_1683;2;0;0;0;0;12;0;8;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RACINE_BERENICE_1671;2;0;0;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RACINE_IPHIGENIE_1675;8;0;10;0;12;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RACINE_PHEDRE_1697;6;0;8;12;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOYER_AMOURSJUPITERSEMELE_1666;0;12;0;0;0;0;8;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOYER_ARISTODEME_1648;0;0;0;0;0;8;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ROTROU_COSROES_1649;0;8;0;0;0;4;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ROTROU_DOMBERNARDDECABRERE_1647;0;0;0;0;0;2;0;12;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CORNEILLEP_ANDROMEDE_1651;0;0;0;0;0;0;2;0;8;0;0;0;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ROTROU_DEUXPUCELLES_1639;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;2;6;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
CORNEILLEP_CID_1682;0;2;0;0;0;0;0;0;0;0;0;0;10;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CORNEILLEP_ILLUSIONCOMIQUE_1639;0;2;0;0;0;0;0;0;0;2;0;10;0;0;0;8;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RACINE_ESTHER_1689;0;0;0;4;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SCUDERY_MORTDECESAR_1637;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0
CORNEILLEP_MEDEE_1682;0;0;0;0;0;0;0;0;0;0;2;12;8;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DURYER_CLITOPHON_1632;0;0;0;0;0;0;0;0;0;0;6;0;2;0;8;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0
MOLIERE_AMPHITRYON_1668;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0;0
MOLIERE_DOMGARCIEDENAVARRE_1682;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8;0;0;0;0
ROTROU_HERCULEMOURANT_1636;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CORNEILLET_AMOURALAMODE_1651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;4;2;0;0;0;0;0;0;0;0;0;0
CORNEILLET_ARIANE_1672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;4;0;0;0;0;0;0;0;0;0;0;0;0
CORNEILLET_BRADAMANTE_1695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;6;0;0;0;0;0;0;0;0;0;0;0;0
CORNEILLET_GEOLIERDESOISMEME_1655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;12;4;6;0;0;4;0;0;0;0;0;0;0;0;0;0
SCARRON_FAUSSEAPPARENCE_1663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;4;0;0;0;0;0;0;4;10;0
SCARRON_GARDIENDESOIMEME_1654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;6;0;0;2;0;0;0;0;2;12;10;2
DURYER_CLARIGENE_1639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;4;2;0;0;0;0;0;0
DURYER_DYNAMIS_1653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;12;4;0;0;0;0;0;0
DURYER_ESTHER_1644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;2;0;0;0;0;0
SCUDERY_PRINCEDEGUISE_1636;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;12;0;0;0;0;8
SCUDERY_VASSALGENEREUX_1636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;10
MOLIERE_MISANTHROPE_1667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0
MOLIERE_TARTUFFE_1669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;0;0;0;0;12;0;0;0;0
SCARRON_DOMJAPHETDARMENIE_1653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;0;0;0;0;0;0;6;0
SCARRON_ECOLIERDESALAMANQUE_1655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;6;0;0
SCUDERY_ORANTE_1636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;10;0;0;0;0;0
